Country,Energy balance,Standard international energy product classification (SIEC),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Austria,Available for final consumption,Total,227893.897,244309.138,238581.58,242053.195,235953.495,245152.794,267166.209,263916.004,269884.081,272453.84,274212.487,290319.897,292443.332,308893.746,311759.727,317992.728,322958.046,315601.973,315930.027,308455.33,322952.65,311240.037,314650.44,321294.927,309853.366,317253.321,325231.271,327814.05,324387.335,329589.398,313467.428,332200.753,311355.653,
Austria,Gross available energy,Total,294766.068,313485.83,301327.038,305054.609,303773.918,317498.15,337997.523,335556.397,341401.433,340853.604,340117.581,358762.141,360875.981,379844.89,384938.837,400096.777,403701.548,396820.246,399973.238,379731.45,405354.156,393560.22,392405.55,397002.907,383071.687,392418.001,397855.212,405013.188,395747.1,404526.282,376263.004,398140.719,379252.652,
Austria,Primary energy consumption (Europe 2020-2030),Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Total energy supply,Total,291185.346,309504.886,297043.038,300528.665,299030.807,312220.956,332179.245,329521.453,335066.127,334734.243,333408.998,352198.169,354697.175,374050.279,378062.281,392345.509,395639.676,388256.363,391405.98,372300.261,397349.743,385195.028,384271.105,389227.676,375304.067,384115.405,388782.58,396234.717,385939.354,393193.062,372404.106,393221.114,371989.677,
Belgium,Available for final consumption,Total,360837.846,384674.143,395572.582,385879.335,415662.684,428634.627,454394.614,451387.705,462345.497,462403.478,474745.343,484739.271,464321.833,484590.51,489863.771,484070.986,468537.474,451296.923,484927.516,462727.273,499897.122,460752.462,455606.815,481035.339,462033.917,476536.97,475924.457,473044.385,478255.868,466573.091,444734.09,476521.236,431427.208,
Belgium,Gross available energy,Total,614412.772,640104.577,646297.818,632517.772,665544.156,674997.392,715998.867,726006.259,743850.668,736976.712,753377.4,746045.859,739755.891,776593.203,783608.963,778265.538,777849.225,777500.793,802687.555,740026.943,793974.132,737203.741,702247.021,728521.668,686210.072,692023.763,734401.899,743433.214,744244.514,747889.204,672421.212,748962.194,697173.844,
Belgium,Primary energy consumption (Europe 2020-2030),Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Total energy supply,Total,555608.216,580739.882,587758.095,573169.244,608842.545,619067.42,651621.812,653803.12,665670.279,665954.462,673703.844,669328.859,647282.307,675579.481,679777.463,676045.455,667708.42,654822.209,675405.972,643728.027,689632.882,641709.963,616310.132,642118.473,608159.461,607506.707,640165.388,637895.167,616682.301,632730.454,584325.561,643278.868,587879.594,
Bulgaria,Available for final consumption,Total,203243.14,151071.041,126475.644,130429.71,130091.694,140697.347,145015.43,123025.479,117507.389,107290.811,112121.22,110008.194,106848.472,115523.785,116116.701,122274.328,127091.386,124880.649,124908.575,107330.974,107448.812,112458.814,111639.051,106682.289,110429.437,117057.694,116763.9,119438.43,120741.546,118060.286,118430.558,125874.634,119375.959,
Bulgaria,Gross available energy,Total,328661,266599.5,244441.248,262808.587,253727.855,274973.537,271694.238,244253.273,234890.091,213146.13,217482.404,227322.112,222041.701,228056.159,221932.566,234854.698,241866.759,237288.281,234435.775,206746.562,209483.933,224174.024,214674.455,199750.917,208823.812,218269.25,213659.064,221154.112,220316.083,218048.235,206995.043,225284.024,228350.872,
Bulgaria,Primary energy consumption (Europe 2020-2030),Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Total energy supply,Total,325156.889,260364.888,237594.081,254953.449,246722.188,267897.426,266289.655,242394.023,232510.48,212218.297,215762.459,224938.917,219305.285,224521.02,218774.266,231348.876,238537.868,234563.114,230551.941,202582.951,206414.877,221325.496,212035.427,196850.083,205906.089,215205.972,210282.203,217455.237,216383.059,214396.15,204409.617,222387.11,225010.329,
Croatia,Available for final consumption,Total,82054.791,73247.634,65090.809,65214.438,65658.911,67916.112,74099.621,76332.336,76033.446,78666.684,76521.251,79006.357,79867.573,86316.235,88820.541,91201.643,91110.95,92092.625,93306.388,89591.519,89871.627,86917.036,82489.775,81496.917,77594.978,81602.745,81985.929,85229.959,83377.855,84780.227,80997.109,84910.438,80387.947,
Croatia,Gross available energy,Total,112328.55,94213.136,86091.384,88220.828,86559.447,89177.29,96661.303,98667.833,100216.899,102670.311,98725.552,102731.19,105124.865,112505.665,112590.441,114566.042,113916.289,118411.302,115599.32,111300.965,110226.335,107974.29,101517.283,99547.211,94856.51,98952.996,99820.371,103370.216,101143.684,102507.347,96798.023,101392.468,99168.044,
Croatia,Primary energy consumption (Europe 2020-2030),Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Total energy supply,Total,110086.606,93846.802,85810.529,87512.584,85187.633,87850.174,95221.919,97477.806,98926.765,101470.084,97734.183,101615.893,104118.051,111546.682,111500.074,113273.912,112658.253,117064.824,114119.109,110176.102,108999.293,106491.856,100189.586,98097.402,93394.838,97551.39,98327.035,101576.631,98757.939,99896.039,95933.288,99972.6,96786.129,
Cyprus,Available for final consumption,Total,11240.007,11308.707,12658.798,13724.125,16163.811,14004.022,15912.968,14987.18,15881.432,15488.785,17039.613,17251.017,17344.711,17987.248,17321.833,17353.556,18343.114,19396.401,20854.343,20146.468,19701.175,18915.584,17674.882,16119.546,16403.442,16721.808,17598.313,18494.429,19006.746,19342.205,18239.934,18872.071,19416.72,
Cyprus,Gross available energy,Total,19489.769,20306.317,22314.528,23056.264,26088.707,23740.786,26103.33,25646.047,27337.681,28151.328,30405.957,30689.734,30277.445,32611.289,29861.443,32975.121,34202.052,35336.038,36906.51,35630.07,34252.061,33845.43,31817.507,28382.14,28808.87,29561.858,31986.181,32875.743,33755.336,33767.34,29756.135,30959.473,33252.098,
Cyprus,Primary energy consumption (Europe 2020-2030),Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Total energy supply,Total,15930.528,16233.388,18305.208,19655.261,22480.971,19770.574,22013.803,21514.293,23040.923,23144.627,24909.711,24643.335,24994.191,27225.768,25611.004,26073.864,27117.499,28646.569,30477.68,29859.318,28799.402,27956.992,26312.161,22747.838,23298.87,23894.342,25453.065,26281.993,26846.722,26924.96,25443.923,26188.004,26822.602,
Czechia,Available for final consumption,Total,403410.859,358673.792,342435.192,325855.657,306177.923,311424.389,316895.155,332084.076,316981.005,295592.559,307227.958,313295.508,311865.322,319941.201,328912.652,327887.085,332086.39,328125.837,325351.618,304007.769,322684.434,300625.711,299799.468,307913.18,293503.057,301298.394,301001.258,318030.375,315909.706,315766.194,303688.194,328546.594,316138.967,
Czechia,Gross available energy,Total,581436.791,527527.751,513578.304,496950.195,479867.625,487043.229,500623.586,504887.9,488958.743,456523.388,480199.382,492686.087,499365.64,521492.703,534811.516,529571.316,541564.516,540408.057,530450.743,498249.089,528761.136,507264.324,502898.194,505268.726,488597.742,489058.064,484495.018,505464.574,507513.287,499319.875,468910.538,496915.425,486693.075,
Czechia,Primary energy consumption (Europe 2020-2030),Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechia,Total energy supply,Total,578848.917,525703.823,511488.825,495247.504,477778.782,484822.273,499018.53,503414.39,487584.909,454934.332,478323.66,490807.642,497427.751,519150.592,531458.849,525909.539,537655.489,536390.78,526313.187,494291.95,525116.719,503655.991,499482.305,501973.115,485193.881,485630.148,480814.518,501339.046,502750.287,494448.625,467587.482,495135.314,483613.964,
Denmark,Available for final consumption,Total,153739.818,161554.612,159694.739,165155.733,165861.733,168448.887,175386.469,172045.429,174110.661,169110.3,166572.176,171335.884,168119.252,170719.368,172850.924,170663.286,174123.094,175076.292,169785.477,163947.813,174119.578,166360.69,163765.031,162203.258,154839.427,159561.963,164404.246,167389.929,167691.535,166072.455,157718.174,162921.201,153332.503,
Denmark,Gross available energy,Total,220165.901,240584.324,231698.941,242840.301,253176.501,252140.296,281212.573,261340.532,258340.85,248092.33,241802.446,246163.466,240392.024,253838.642,245355.142,239496.933,258729.84,254008.219,245856.877,232014.381,244461.065,228452.025,217250.496,219789.191,210234.418,209698.158,214167.26,214009.462,215047.437,210547.18,192862.276,202595.511,196665.034,
Denmark,Primary energy consumption (Europe 2020-2030),Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
