dependent_identifier,independent_identifier,correlation
Austria_Renewable energy sources,Austria,0.22492121118600997
Austria_Renewable energy sources,Austria,-0.19643866221167475
Austria_Renewable energy sources,Austria,
Austria_Renewable energy sources,Austria,-0.1970751239221613
Austria_Renewable energy sources in electricity,Austria,0.274722634026
Austria_Renewable energy sources in electricity,Austria,-0.2766536379857416
Austria_Renewable energy sources in electricity,Austria,
Austria_Renewable energy sources in electricity,Austria,-0.2793492732598426
Austria_Renewable energy sources in heating and cooling,Austria,0.2904941870504204
Austria_Renewable energy sources in heating and cooling,Austria,-0.0642433487878772
Austria_Renewable energy sources in heating and cooling,Austria,
Austria_Renewable energy sources in heating and cooling,Austria,-0.0791416601104127
Austria_Renewable energy sources in transport,Austria,0.017047033276575644
Austria_Renewable energy sources in transport,Austria,-0.1700366231800066
Austria_Renewable energy sources in transport,Austria,
Austria_Renewable energy sources in transport,Austria,-0.20290228747085734
